timestamp,group,transcription,rbd,grade,date,length,length (secs),NUM-OPER,GEOM,FUNC,PROBAB,EXPON,PREG,FEED,ESTUD,ADMIN,NUM,SISTEMA
1568046258825,T,1,10672,8 A,2019-09-09,01:15:44,4544,0.06403361647916894,0.09361128748786596,0.023191254537629623,0.052076933995185266,0.4509636355104748,0.03293741266941808,0.12673973387851112,0.01664307079196603,0.04095784447662375,0.09584499548512955,0.003000214688027042
1568205098645,T,1,25206,8 A,2019-09-11,01:20:27,4827,0.0302216901298392,0.05918464936979637,0.04381223752858222,0.016867857448667083,0.508553027695637,0.04624717518963924,0.16676508303103194,0.027668929960031046,0.05129627850414754,0.03968806659056012,0.009695004552068925
1568218289282,T,1,10752,8 A,2019-09-11,01:26:44,5204,0.012173045051813767,0.17218654517856888,0.019023942653665783,0.05159229073463551,0.39718763080087854,0.0506421153444132,0.13593815565449832,0.03161649369639365,0.04106901617011018,0.07672116899808129,0.011849595716941197
1568302518149,T,1,10288,8 A,2019-09-12,00:52:08,3128,0.017610177060538496,0.15877874494681732,0.025541531973345747,0.046579443312232495,0.4356163179806405,0.03710613070510242,0.11686526924621926,0.015092146846160968,0.026302622680600397,0.09969368917055366,0.02081392607778835
1569516178050,T,1,10791,8 A,2019-09-26,01:28:02,5282,0.008775698441358686,0.1532977453468,0.017491742984807396,0.053818071659072764,0.4323396490862151,0.0467013844813997,0.13709246224194935,0.023914221617776735,0.059696037589456886,0.04257260486951036,0.024300381681652453
1569853326535,T,1,8615,8 A,2019-09-30,01:20:34,4834,0.011303856456154102,0.06411641266922086,0.05129323529758744,0.00656495313331155,0.5529091985827935,0.024311366886798306,0.15794603683854994,0.024168181451578508,0.05696757076693138,0.028015684973585885,0.02240350294348878
1569867871555,T,1,10797,8 A,2019-09-30,00:37:47,2267,0.016377118825622667,0.2071334417463225,0.021204385007230216,0.06427392063685822,0.36068301146286125,0.05403851892277974,0.15029989725215642,0.015377704518076138,0.03907906530628682,0.0625441876106735,0.008988748711132475
1569948997386,T,1,10253,8 A,2019-10-01,01:17:29,4649,0.02985764642628149,0.046815519696320654,0.040686499255133554,0.023977360294941488,0.4679524208608014,0.04833605794464343,0.16872120667591956,0.009039667266646208,0.06265997755324348,0.08204272290018653,0.01991092112588128
1570026775453,T,1,10548,8 A,2019-10-02,01:16:58,4618,0.027787710247941248,0.060340451620856356,0.06778823007858782,0.017802143815508098,0.48529495513605403,0.04737515778101846,0.16834298778260154,0.01300536040790315,0.04299893370293233,0.059890546484083214,0.009373522942514544
1570118688162,T,1,10359,8 A,2019-10-03,01:14:27,4467,0.06243605514444997,0.08127941923076032,0.030144479777124276,0.030022771111524817,0.4457025081148779,0.03914043861967109,0.15008560679290514,0.05358361973310374,0.04223624609766932,0.0566399569642562,0.008728898413656786
1572353958931,T,1,10665,8 A,2019-10-29,01:18:10,4690,0.021135656660261286,0.056207565906220974,0.021753280638384852,0.14684664678498793,0.4452354177244654,0.04096962662334845,0.15916368988660828,0.017991411586609468,0.05179897511674566,0.03384448711345428,0.005053241958912737
1573650962623,T,1,10668,8 A,2019-11-13,00:27:46,1666,0.0,0.13946501318146584,0.01901629256099638,0.004678822444726413,0.5144668235120241,0.0476575404033761,0.1698709908563597,0.026343164739967624,0.05502226667838711,0.015968949122990794,0.007510136499705769
1574342124563,T,1,25089,8 A,2019-11-21,00:35:36,2136,0.010541662470941791,0.04933761150228612,0.004912138012656538,0.07776655672489065,0.564456484862718,0.03668152621758366,0.16013612853966638,0.013409926726252592,0.05556318854398806,0.022937223841917823,0.004257552557098168
1574437692013,T,1,10799,8 A,2019-11-22,00:47:34,2854,0.024810156492253967,0.0559608438041533,0.010340488063408464,0.05470609997574805,0.487354906811869,0.039519531611618156,0.16627728216792487,0.011112679942589443,0.07564258635852811,0.04278861541710725,0.031486809354798875
1574686440266,T,1,10786,8 A,2019-11-25,01:16:43,4603,0.007183437251621818,0.08972551193393619,0.005060903755127451,0.022942992946803114,0.50303805846627,0.037310099406225074,0.14841299741250158,0.027304559910416304,0.08955859209372927,0.04332487452673463,0.02613797229663348
1574860271078,T,1,10827,8 A,2019-11-27,01:04:53,3893,0.020284991202820547,0.07438569327370607,0.028173858443589304,0.02590412920571933,0.5285702202803918,0.024704560442714036,0.19304102485756983,0.023666310151248003,0.04186834185101505,0.03821392534483145,0.0011869449463946784
1574951877925,T,1,10266,8 B,2019-11-28,00:44:40,2680,0.005195741798866905,0.10318253389752613,0.029384194993184055,0.015918490295099466,0.48145057540088876,0.04141572176272199,0.20208561601572675,0.0391142673798216,0.02483799010940473,0.05202399071708781,0.005390877629671769
1575044660850,T,1,10789,8 A,2019-11-29,01:18:43,4723,0.03137669078463929,0.11329796059886103,0.014355537825006252,0.025543844295222773,0.4835604027995639,0.03944076413400712,0.15801745475715262,0.031473061884357716,0.04856993081526617,0.03113681331563595,0.023227538790287824
1575471525003,C,1,8576,8 A,2019-12-04,01:04:56,3896,0.03029250216800929,0.05199909090018988,0.024473180256301102,0.059886225818948334,0.4450604692871382,0.05373747557014261,0.15120575347050524,0.019644017361232093,0.04670774359297181,0.11268433889643595,0.004309202678125806
1575548852455,T,1,10259,8 A,2019-12-05,00:43:20,2600,0.03318451020962138,0.06660917844803187,0.0758164092597796,0.01356664069739469,0.4862843137726931,0.025859973869398617,0.1579972443381,0.015734254396056392,0.05672752680938518,0.045311139319940144,0.022908808879598695
