C,C,T,T,T TEST,T TEST
mean,var,mean,var,t,p-val
0.02376291881575694,0.00012693471640959293,0.023169284842460273,0.0002738157192555676,0.08202314699375739,0.935281487866349
0.07603649372542311,0.0013070085030947233,0.09333441984983677,0.0021767537049543905,-0.8349839572819052,0.41163545067334995
0.026011239818360236,3.9464274800527094e-05,0.028136034082008606,0.00035258245298115047,-0.2695579319678077,0.7897128268339941
0.05598046552295943,0.0025715177911765407,0.04111136254425376,0.0010214669113736057,0.8802809654252388,0.3870912360910225
0.4897164869908636,0.001402985163090955,0.4783520899530679,0.0023908817228207547,0.5242042416196042,0.6047535676057599
0.04741656500908711,2.3648757500695743e-05,0.041333527908123675,8.92703725564161e-05,1.505913987537179,0.1446210809885751
0.14659862764815898,0.0004661511820453812,0.15873882377554877,0.00039833819137952386,-1.2922090586147674,0.20810223459045185
0.01624878487349812,4.096875807523051e-05,0.02233581733292748,0.00012223997716397144,-1.277277622534511,0.2132395861969025
0.04947995704423141,0.00013455627667452683,0.04946541326008943,0.00022859405004032246,0.0021691622946102994,0.9982864768938364
0.06644621973757438,0.000860104413739918,0.05097387974545789,0.0005103643397299954,1.3874855930219618,0.17753861933380302
0.002302240814086873,2.771775073231953e-06,0.013049346706225241,8.824293192653482e-05,-2.7523992586607537,0.010853252135382054
