timestamp,group,transcription,rbd,grade,date,length,length (secs),LECTURA,ESCRITURA,COMUNIC,LENGUA-LIT,EXPON,FEED,ADMIN,PREG,ESTUD,NUM
1570205108651,T,1,26538,II D,2019-10-04,01:13:19,4399,0.2911782313156371,0.18167119379369556,0.16750389890159278,0.07586555187769144,0.10790212804898514,0.034687217287720604,0.009753786096691926,0.08609552652786993,0.021652889228338728,0.023689576921776572
1570213955886,T,1,26538,II C,2019-10-04,01:28:21,5301,0.28898958064634345,0.17952285795233786,0.20449569224443542,0.05830455393185849,0.09317737922295319,0.027140298912659535,0.011285968794058129,0.08811110416034139,0.0234542757727056,0.02551828836230714
1573483029583,T,1,25591,II D,2019-11-11,01:21:10,4870,0.2857841147211121,0.1725065130750168,0.20051608272635194,0.06033823124361519,0.08044915135785889,0.037021067446450916,0.013493953609984278,0.11234093593245435,0.007620797635905381,0.02992915225125049
1573734706218,T,1,10368,II B,2019-11-14,01:09:11,4151,0.28682682167865653,0.19631815104526126,0.23022242698991444,0.05438157142288402,0.07220781157436701,0.038306592434539315,0.010579380943468678,0.08480119962580429,0.02098514797966671,0.005370896305437936
1573741619917,T,1,25591,II C,2019-11-14,01:14:37,4477,0.2422357053483345,0.15563402096067827,0.19868106989255555,0.056928029722168455,0.1318090958859534,0.03537713227609685,0.025661497587712738,0.0886820379753021,0.05025447961993643,0.0147369307312613
1573747026742,T,1,10368,II F,2019-11-14,00:57:30,3450,0.28557828280283687,0.12695997252078026,0.21983485307449702,0.09130714141787885,0.07847412105767408,0.045722555676599524,0.00954725170126734,0.092723910249344,0.024026690424085555,0.025825221075035994
1573834119178,T,1,10368,II A,2019-11-15,01:11:05,4265,0.31438138525881415,0.167767581028307,0.19025642654446287,0.05778474403029334,0.06951206416999062,0.027394966201248917,0.010362755396792048,0.09697680236854594,0.030337783784479436,0.03522549121706551
1574769471748,C,1,26436,II B,2019-11-26,00:46:37,2797,0.28243361102483316,0.1735099055450927,0.24763890511008502,0.06943698114945156,0.056614200544405184,0.02478287935646057,0.019326566521558453,0.09119124029598678,0.016504987096479296,0.018560723355647277
1574774227949,T,1,26538,II C,2019-11-26,01:00:19,3619,0.24577140171934997,0.16480623637727962,0.2526593471230641,0.06863266321680157,0.054461456518829866,0.033135215510734777,0.03396884936740141,0.1110872816161245,0.016139646907751007,0.019337901642663607
1574783900945,C,1,26436,II D,2019-11-26,01:07:40,4060,0.25005119329598113,0.16833775138728818,0.280748870546469,0.05231734298015833,0.06153303082374329,0.025059434221815557,0.03527303072184852,0.09111379635158373,0.017955494380249893,0.017610055290862663
1575039470522,T,1,26538,II A,2019-11-29,00:53:00,3180,0.26780819851278137,0.1624443430673384,0.2122285121033762,0.07312242980560273,0.09672306011933297,0.03859568044809538,0.013310747084030575,0.08523940434761958,0.038008175658928604,0.012519448852894355
1575290578565,T,1,25591,II E,2019-12-02,00:43:57,2637,0.29451691695491067,0.15978574259380682,0.20388134813294756,0.053703862493666044,0.08165535127218351,0.03724353154254976,0.014944090536298464,0.10592154445865029,0.021757668399939804,0.02658994361504681
1575470815046,C,1,9959,II B,2019-12-04,00:38:57,2337,0.2855228219759734,0.16332405565963437,0.2005134758008248,0.06273809244506391,0.09905856308221987,0.02023690201592314,0.011625024448952739,0.1313544480910826,0.01764518039749121,0.007981436082834498
LiceoNacionalMaipu_temp,C,1,25770,II D,2019-11-12,00:45:02,2702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
