timestamp,group,transcription,rbd,grade,date,length,length (secs),BIO,QCA,FIS,NUM,PREG,FEED,EXPON,ADMIN,SISTEMA
1575634704208,C,1,10288,8 A,2019-12-06,00:26:59,1619,0.017849818834213237,0.022134672033724604,0.17330164795828798,0.015979528892446113,0.07895081071050508,0.11747135514013628,0.5031702554754087,0.06356963634605992,0.007572274609218082
1575640458790,C,1,9680,8 A,2019-12-06,00:25:18,1518,0.0024680143730530404,0.1942884929573608,0.08806115332078757,0.020510544021228663,0.05576610976150407,0.14895517921080598,0.4455750832934831,0.04437542306177673,0.0
1575982360077,C,1,10791,8 A,2019-12-10,00:37:34,2254,0.0047944058661835405,0.2731577688595051,0.11401554604894369,0.013482844173207815,0.05460051600122181,0.14381591396520857,0.314660681593348,0.06736097594647233,0.014111347545909253
1576067468429,C,1,10259,8 A,2019-12-11,00:55:10,3310,0.013410157510358595,0.08002783153195096,0.1568899924166525,0.026856401470683123,0.045123782332139734,0.19251547625648746,0.4323364451931958,0.050791507296580586,0.002048405991951038
1576586877562,C,1,10000,8 A,2019-12-17,00:18:38,1118,0.010095872504148699,0.2632247513861415,0.06294950588669235,0.020730819552868866,0.04112307185710524,0.17886938677113134,0.36132100458714095,0.055784495144101554,0.0059010923106695284
1569427879920,T,1,10799,8 B,2019-09-25,01:13:47,4427,0.002406369836790276,0.22443618368426124,0.0784993012766736,0.0378336082288505,0.029273816956450784,0.13397254220185087,0.4584892781380683,0.033762242474942014,0.0013266572021123852
1569859568851,T,1,10269,8 A,2019-09-30,01:22:26,4946,0.05603869873184858,0.04605510739685298,0.059786283252939,0.017255719744141616,0.03890666593816982,0.16783437671012827,0.5004430007364689,0.09495806749094741,0.018722079998503866
1569875640666,T,1,10797,8 A,2019-09-30,01:02:38,3758,0.011407993462418452,0.03874122526181308,0.03634763540781857,0.04159931153446158,0.05469863755453018,0.2667832858764295,0.46936363687956006,0.06938564058877636,0.01167263343419242
1570192336163,T,1,8576,8 A,2019-10-04,01:13:05,4385,0.006771507143004242,0.023769275921045618,0.13505020150716757,0.018415027741163145,0.047495049381986294,0.1918041905075386,0.47022790842022155,0.09677837539137721,0.009688463986495461
1571148548284,T,1,8519,8 A,2019-10-15,01:10:08,4208,0.002986818067214096,0.22774103908684928,0.06891975992393226,0.038259995364290214,0.046140226725392565,0.151169581461218,0.3966366016955437,0.05793945345607061,0.010206524219489444
1572971483135,T,1,10796,8 A,2019-11-05,01:18:28,4708,0.022407305344273577,0.08795115249260005,0.07094747566536994,0.026145592834628938,0.04258065982665599,0.18954958332160132,0.4813627863983078,0.07789943192570331,0.0011560121908586636
1573823501702,T,1,8569,8 A,2019-11-15,00:41:53,2513,0.0038925748819404974,0.10997512472982199,0.08272327802439454,0.010840889242026449,0.0533723599677101,0.18358677585329997,0.4543414001376272,0.07297294611131673,0.02829465105186226
1574082595590,T,1,10792,8 A,2019-11-18,01:00:17,3617,0.009346193549616686,0.020927021945744192,0.2736154473656249,0.04741151165829336,0.03711100060047337,0.13997816902254173,0.40113859551122677,0.06020409572074677,0.010267964625732384
1574255355144,T,1,10794,8 A,2019-11-20,01:04:50,3890,0.007220127807568573,0.0848402349759283,0.06718230616812453,0.02850611483316827,0.048885457499600014,0.17332002388037804,0.46761696290887245,0.06886999593074798,0.053558775995611964
1574265080198,T,1,10791,8 B,2019-11-20,00:56:39,3399,0.003142873060157845,0.11388565597391101,0.08623335776437586,0.03986782396379583,0.03977001350429734,0.14728198836247328,0.48749004659628425,0.07151757085312645,0.010810669921577379
1574869207110,T,1,10790,8 A,2019-11-27,00:51:07,3067,0.005384038351399201,0.09349798611558999,0.1114886369229161,0.019407548717632655,0.026553212769277364,0.1572216835996575,0.5011064273363276,0.08167634998997537,0.0036641161972241158
1574947770810,T,1,10266,8 A,2019-11-28,00:55:58,3358,0.006247943832647753,0.09351829578424052,0.04902105439675837,0.027320607312134166,0.02770588538858889,0.17068432801419947,0.526040337465922,0.07421427396348064,0.025247273842028375
1574952810388,T,0,10251,8,2019-11-28,00:40:42,2442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575288263766,T,1,10273,8 A,2019-12-02,00:20:11,1211,0.007082074828727031,0.14017160026872247,0.10799993686515515,0.01819913989579248,0.04866730099489659,0.18255227457897286,0.3980916410038229,0.07235641596055055,0.024879615603359807
1576079669756,T,1,10281,8 A,2019-12-11,01:03:13,3793,0.001961875265463247,0.02090326382237472,0.13395523515738345,0.03215574481387492,0.05168368294786259,0.18577652945414494,0.4644870086998327,0.09775682874867989,0.011319831090383337
1576761391270,T,1,10253,8 B,2019-12-19,00:11:41,701,0.11865408410807318,0.026846223288914887,0.06542261506533725,0.003143169853295588,0.0692681593571174,0.16783779082048772,0.43081309603775736,0.05214890310766628,0.06586595836135099
