C,C,T,T,T TEST,T TEST
mean,var,mean,var,t,p-val
0.009723653817591422,3.917630080509417e-05,0.016559404891946454,0.0009207360412602839,-0.49207944514028895,0.6283005455155558
0.16656670335373658,0.012455629780332426,0.08457871192179188,0.004713103303581875,2.0092524667702545,0.05893236471556549
0.11904356912627281,0.002127006477587988,0.08919953279774818,0.0036102611058987976,1.0143031628206796,0.32318133243416514
0.019512027622086914,2.631297908324741e-05,0.025397612858596857,0.00019274160951802654,-0.9147525757455501,0.3717852750591736
0.05511285813249519,0.00021610824265951614,0.041382008088313084,0.00024457751767723517,1.7350505217504353,0.0989243663066601
0.15632546226875393,0.0008845992890690864,0.16308457022905762,0.0028136415788571328,-0.2688679952828719,0.7909291247963779
0.4114126940285153,0.005473612886779736,0.43172804549786514,0.014678584282799495,-0.3512878403311015,0.7292378372100916
0.05637640755899822,8.699209579818016e-05,0.06765253698213174,0.0006020239165098616,-0.9906255151207951,0.33431741720340813
0.0059266240915495805,2.9965991068268117e-05,0.01791757673254893,0.00034526733061189383,-1.4014384901222747,0.1772067905276903
