C,C,T,T,T TEST,T TEST
mean,var,mean,var,t,p-val
0.1659853250304971,0.002991027596094238,0.233074735128893,0.0057038657862225565,-3.357913010320017,0.0014598458570244577
0.027116322748727082,0.00013011196368125388,0.04557926621744622,0.0023411461408475898,-1.5903904210229651,0.11769474012763768
0.023097414013397495,0.0012962960521125202,0.03019353557868408,0.001324815290581884,-0.6807751979833393,0.4989772767241346
0.01782756552673691,0.0005649946363772102,0.030044581774656368,0.0015073116913041017,-1.2246634507250285,0.22611752541229727
0.06194080428092062,0.0037297183524148364,0.008600636216724947,0.0005426972505353437,4.69202171281845,1.943172920510773e-05
0.06951528391892149,0.00039226946832157856,0.04068406857830424,0.00012660195495993435,6.893491967713308,6.692990186995846e-09
0.19884690553373252,0.0006897744403376201,0.17109516696908258,0.0007772990580683772,3.528091169787631,0.0008738121437698031
0.1966573528566384,0.0006063178865668236,0.18471759166012164,0.001349944644203141,1.2462688756968041,0.21814623910145275
0.06550108605658979,0.0004499883685549476,0.057037215760132716,0.00017673191682187497,1.8113830332173153,0.07574983087337328
0.040874971051246795,0.00030773432591569026,0.0371356420392427,0.0002415541470177287,0.8026973835312939,0.42573463907400566
0.04226132005187779,0.0004465332919181514,0.055595692045366074,0.000505767824556957,-2.1031357013210132,0.040218199322854184
0.09037564893071398,0.0011873767581312786,0.10624186803134543,0.0015530541737741991,-1.4570957040878671,0.15098962672180152
