espaci,enter,9
fraccion,numer,2
numer,denomin,2
denomin,total,1
total,3,2
3,2,2
2,enter,2
enter,vist,2
vist,entend,2
entend,voy,1
voy,catalin,3
catalin,voy,2
catalin,cuentem,2
cuentem,pon,2
numer,correspond,2
correspond,figur,2
figur,fraccion,4
fraccion,enter,2
fraccion,4,2
denomin,divid,6
divid,8,2
8,part,2
part,figur,6
figur,cuent,3
cuent,veam,1
veam,bien,2
cuatr,dec,4
dec,mism,2
dig,enter,2
mixt,entend,2
entend,aca,1
aca,mism,2
mism,aca,2
aca,cuant,4
enter,ciert,4
ciert,dos,2
dos,fraccion,2
fraccion,qued,2
qued,fraccion,2
bien,dos,2
excelent,entonc,2
dos,entend,4
entend,digam,1
digam,escrib,2
escrib,numer,2
mixt,total,2
total,cuant,4
ahi,espaci,2
ejempl,fraccion,2
voy,ayud,4
ayud,ver,2
ver,si,2
si,ver,2
ver,entonc,1
entonc,pon,1
pon,enter,2
cuant,figur,4
figur,enter,4
enter,figur,1
enter,pon,6
pon,aca,2
aca,aqu,4
aqu,enter,2
dos,ejempl,2
enter,pus,2
pus,vist,2
vist,aca,2
pon,figur,1
figur,vist,2
vist,dos,2
mism,dos,2
entend,5,1
5,minut,2
minut,pued,2
pon,niñ,2
niñ,nuev,2
nuev,cuant,2
cuant,part,12
part,divid,12
divid,fraccion,2
divid,part,4
part,cuent,2
cuent,cuant,2
divid,cuant,2
divid,1,1
1,2,4
2,3,4
3,4,4
4,5,4
5,6,4
6,10,2
10,dec,2
dec,aca,2
aqu,mir,2
mir,dos,2
ahi,si,4
si,pregunt,2
pregunt,niñ,1
niñ,quien,2
quien,jos,2
jos,dos,2
dos,pon,2
pon,cuentam,1
cuentam,cuant,1
figur,espaci,2
ahor,pon,2
pon,fraccion,6
cuant,denomin,2
denomin,bien,2
bien,excelent,2
excelent,octav,2
octav,si,1
si,perfect,2
perfect,trabaj,4
trabaj,entend,1
entend,sup,2
voy,perfect,2
perfect,bien,2
bien,catalin,1
catalin,cuentam,1
